year,month,period,country_code,country_name,pairs,kg_net,fob_usd,freight_usd,insurance_usd,cif_usd_proxy,avg_fob_usd_pair,kg_per_pair,fob_usd_per_kg,source_rows
1998,6,1998-06-01,169,Colômbia,3047,1580,37950,1826,0,39776,12.454874,0.518543,24.018987,1
1998,6,1998-06-01,245,Espanha,5435,3984,76359,1615,766,78740,14.049494,0.733027,19.166416,1
1998,6,1998-06-01,249,Estados Unidos,118,105,949,154,0,1103,8.042373,0.889831,9.038095,2
1998,6,1998-06-01,351,Hong Kong,3427,7387,42821,3786,0,46607,12.495185,2.15553,5.796805,1
1998,6,1998-06-01,365,Indonésia,44760,36191,790315,28836,5488,824639,17.656725,0.808557,21.837335,3
1998,6,1998-06-01,386,Itália,43,31,457,5,0,462,10.627907,0.72093,14.741935,2
1998,6,1998-06-01,399,Japão,2749,1983,27269,605,0,27874,9.919607,0.721353,13.751387,1
1998,6,1998-06-01,455,Malásia,600,413,3600,1120,24,4744,6.0,0.688333,8.716707,1
1998,6,1998-06-01,580,Panamá,580,570,6384,1291,0,7675,11.006897,0.982759,11.2,1
1998,6,1998-06-01,858,Vietnã,3084,3408,34384,403,0,34787,11.149157,1.105058,10.089202,1
1998,7,1998-07-01,063,Argentina,133704,120732,3070468,22230,17894,3110592,22.964668,0.90298,25.432098,1
1998,7,1998-07-01,160,China,60649,44228,715907,41725,3851,761483,11.804102,0.729245,16.186737,8
1998,7,1998-07-01,161,Taiwan (Formosa),468,463,4063,56,0,4119,8.681624,0.989316,8.775378,2
1998,7,1998-07-01,190,Coreia do Sul,7632,5000,183939,6611,1259,191809,24.101022,0.655136,36.7878,2
1998,7,1998-07-01,245,Espanha,6632,4459,93338,1748,1010,96096,14.073884,0.672346,20.932496,1
1998,7,1998-07-01,249,Estados Unidos,224,408,3309,1274,0,4583,14.772321,1.821429,8.110294,5
1998,7,1998-07-01,365,Indonésia,14358,15289,132149,5006,0,137155,9.203858,1.064842,8.643404,4
1998,7,1998-07-01,386,Itália,55,42,598,10,0,608,10.872727,0.763636,14.238095,3
1998,7,1998-07-01,399,Japão,7863,4513,113591,5480,0,119071,14.446267,0.573954,25.169732,3
1998,7,1998-07-01,776,Tailândia,4954,4003,95888,4302,462,100652,19.355672,0.808034,23.954034,2
1998,7,1998-07-01,858,Vietnã,8005,8191,82072,4124,63,86259,10.252592,1.023235,10.019778,5
1998,8,1998-08-01,063,Argentina,75672,68296,1773925,11700,10332,1795957,23.44229,0.902527,25.974069,1
1998,8,1998-08-01,160,China,26377,23426,318976,21135,1351,341462,12.09296,0.888122,13.616324,7
1998,8,1998-08-01,161,Taiwan (Formosa),4494,3424,46566,2727,246,49539,10.361816,0.761905,13.599883,3
1998,8,1998-08-01,245,Espanha,3900,2613,54625,1425,540,56590,14.00641,0.67,20.90509,1
1998,8,1998-08-01,249,Estados Unidos,40,20,500,50,0,550,12.5,0.5,25.0,2
1998,8,1998-08-01,267,Filipinas,1920,1665,42000,1798,0,43798,21.875,0.867188,25.225225,1
1998,8,1998-08-01,351,Hong Kong,32268,28258,89117,11093,0,100210,2.761776,0.875728,3.153691,2
1998,8,1998-08-01,365,Indonésia,14122,13291,145443,5422,38,150903,10.299037,0.941156,10.942969,5
1998,8,1998-08-01,386,Itália,76,60,827,13,0,840,10.881579,0.789474,13.783333,2
1998,8,1998-08-01,776,Tailândia,1150,1016,22537,947,36,23520,19.597391,0.883478,22.182087,2
1998,8,1998-08-01,858,Vietnã,31920,30177,316785,15083,928,332796,9.924342,0.945395,10.497564,4
1998,9,1998-09-01,063,Argentina,176163,158985,4134450,28080,24084,4186614,23.469457,0.902488,26.005284,1
1998,9,1998-09-01,160,China,95717,78519,1181462,49208,5930,1236600,12.343283,0.820324,15.046829,9
